ID,제조사,모델,차량상태,배터리용량,구동방식,주행거리(km),보증기간(년),사고이력,연식(년),가격(백만원)
0,4,16,1,86.077,0,13642,0,0,2,159.66
1,3,10,1,56.0,1,10199,6,0,0,28.01
2,0,17,0,91.2,0,2361,7,0,0,66.27
3,0,12,1,78.2269999999999,0,21683,3,0,0,99.16
4,1,19,2,61.018,0,178205,1,0,0,62.02
5,2,3,2,58.162,0,103100,3,0,0,37.02
6,5,7,1,80.5517800000001,0,19395,3,0,0,83.42
7,0,12,1,78.227,0,30583,5,0,1,99.66
8,5,9,0,90.0,0,2226,8,0,0,74.06
9,0,11,0,90.0,0,3683,7,0,0,59.66
10,3,10,1,58.982,1,10879,8,0,2,28.78
11,6,1,0,90.0,0,1131,8,0,0,40.5
12,6,1,1,68.125,0,44068,5,0,1,41.21
13,3,10,0,90.0,0,1191,10,1,0,21.36
14,3,10,1,56.0,1,16011,5,0,0,28.87
15,0,17,0,91.2,0,5681,7,0,0,66.12
16,4,15,1,76.093,0,49335,2,0,0,130.61
17,3,13,1,56.0,0,28687,6,1,0,22.77
18,5,9,2,58.707,0,137749,2,0,0,75.86
19,2,3,0,90.0,0,5008,10,0,0,38.81
20,5,7,0,99.8,0,1405,8,0,0,63.9
21,1,20,0,90.0,2,2889,7,0,0,80.38
22,5,8,1,84.44405000000015,0,33126,4,0,0,93.66
23,3,13,1,56.0,0,27402,6,0,0,23.82
24,3,10,1,56.623,1,21975,7,0,1,28.65
25,5,7,1,88.474,0,26876,5,0,1,84.47
26,5,9,0,90.0,0,185,7,0,0,63.15
27,2,3,0,90.0,0,1975,10,0,0,38.26
28,5,9,2,58.707,0,151131,2,0,0,76.51
29,3,13,2,46.169,0,102772,2,0,0,21.92
30,2,4,1,88.08,1,43412,3,0,2,27.53
31,4,16,2,64.683,0,97476,2,0,0,151.0
32,4,15,0,90.0,0,1292,2,0,0,120.08
33,0,12,2,78.2269999999999,0,128546,0,0,0,94.79
34,0,11,2,56.788,0,59324,0,0,0,55.44
35,6,1,1,70.963,0,25288,6,0,2,37.18
36,3,0,0,90.0,0,2619,10,0,0,48.47
37,1,19,0,90.0,0,6645,8,0,0,64.14
38,3,10,1,56.0,1,28777,5,0,0,28.77
39,2,5,0,90.0,1,1144,9,0,0,24.02
40,1,19,0,90.0,2,6777,8,0,0,65.07
41,0,11,1,72.548,0,38960,5,0,1,57.27
42,2,3,0,90.0,0,8998,10,0,0,39.0
43,5,8,2,78.2759999999999,0,94747,2,0,0,91.61
44,1,19,2,56.234,2,108562,0,0,0,60.59
45,0,12,0,90.0,0,975,7,0,0,100.38
46,1,19,2,58.577,2,180683,0,0,0,60.78
